"TICKET","SYMBOL","ACTION","LOTS","OPEN TIME","CLOSE TIME","PROFIT","COMM","SWAP","COMMENT","T/P","S/L","OPEN PRICE","CLOSE PRICE","","",""
"767800597","XAUUSDr","Sell","0.02","2025-10-08 07:29:06","2025-10-08 07:50:13","-9.3","0.0","0.0","[sl]","0.0","4022.63","4018.02","4022.67","-9.3","0","0"
"767802191","XAUUSDr","Buy","0.02","2025-10-08 07:11:13","2025-10-08 07:13:30","-3.44","0.0","0.0","","0.0","4013.92","4020.53","4018.81","-3.44","0","0"
"767802087","XAUUSDr","Sell","0.02","2025-10-08 07:10:36","2025-10-08 07:10:56","-1.82","0.0","0.0","[sl]","0.0","4020.78","4019.89","4020.8","-1.82","0","0"
"767802052","XAUUSDr","Sell","0.02","2025-10-08 07:10:17","2025-10-08 07:10:56","-2.42","0.0","0.0","[sl]","0.0","4020.78","4019.59","4020.8","-2.42","0","0"
"767802035","XAUUSDr","Sell","0.02","2025-10-08 07:10:10","2025-10-08 07:10:56","-2.82","0.0","0.0","[sl]","0.0","4020.78","4019.39","4020.8","-2.82","0","0"
"767801973","XAUUSDr","Sell","0.02","2025-10-08 07:09:58","2025-10-08 07:10:56","-3.56","0.0","0.0","[sl]","0.0","4020.78","4019.02","4020.8","-3.56","0","0"
"767801773","XAUUSDr","Sell","0.02","2025-10-08 07:06:44","2025-10-08 07:10:56","-6.36","0.0","0.0","[sl]","0.0","4020.78","4017.62","4020.8","-6.36","0","0"
"767800676","XAUUSDr","Sell","0.02","2025-10-08 06:57:17","2025-10-08 07:02:18","-10.86","0.0","0.0","[sl]","0.0","4017.76","4012.61","4018.04","-10.86","0","0"
"767796907","XAUUSDr","Sell","0.02","2025-10-08 06:24:24","2025-10-08 06:50:01","-13.08","0.0","0.0","[sl]","0.0","4016.2","4009.66","4016.2","-13.08","0","0"
"767793382","XAUUSDr","Buy","0.02","2025-10-08 05:10:51","2025-10-08 05:55:22","16.6","0.0","0.0","","0.0","3998.58","4001.7","4010.0","16.6","0","0"
